ts_code	name	industry	sector
000001.SZ	平安银行	银行	金融
000002.SZ	万科Ａ	全国地产	地产建筑建材
000009.SZ	中国宝安	电气设备	新能源电力设备
000032.SZ	深桑达Ａ	建筑工程	地产建筑建材
000034.SZ	神州数码	软件服务	计算机通信互联网
000035.SZ	中国天楹	环境保护	公用事业环保
000039.SZ	中集集团	运输设备	机械设备高端制造
000063.SZ	中兴通讯	通信设备	计算机通信互联网
000066.SZ	中国长城	IT设备	半导体电子
000069.SZ	华侨城Ａ	全国地产	地产建筑建材
000100.SZ	TCL科技	元器件	半导体电子
000157.SZ	中联重科	工程机械	机械设备高端制造
000301.SZ	东方盛虹	化纤	化工材料
000333.SZ	美的集团	家用电器	消费食品家电轻工
000338.SZ	潍柴动力	汽车配件	汽车产业链
000400.SZ	许继电气	电气设备	新能源电力设备
000408.SZ	藏格矿业	农药化肥	化工材料
000415.SZ	渤海租赁	多元金融	金融
000423.SZ	东阿阿胶	中成药	医药医疗
000425.SZ	徐工机械	工程机械	机械设备高端制造
000426.SZ	兴业银锡	铅锌	有色金属资源
000519.SZ	中兵红箭	专用机械	机械设备高端制造
000538.SZ	云南白药	中成药	医药医疗
000547.SZ	航天发展	通信设备	计算机通信互联网
000568.SZ	泸州老窖	白酒	消费食品家电轻工
000617.SZ	中油资本	多元金融	金融
000623.SZ	吉林敖东	中成药	医药医疗
000625.SZ	长安汽车	汽车整车	汽车产业链
000629.SZ	钒钛股份	小金属	有色金属资源
000630.SZ	铜陵有色	铜	有色金属资源
000651.SZ	格力电器	家用电器	消费食品家电轻工
000661.SZ	长春高新	生物制药	医药医疗
000683.SZ	博源化工	化工原料	化工材料
000708.SZ	中信特钢	特种钢	有色金属资源
000725.SZ	京东方Ａ	元器件	半导体电子
000733.SZ	振华科技	元器件	半导体电子
000738.SZ	航发控制	航空	军工航空航天
000768.SZ	中航西飞	航空	军工航空航天
000786.SZ	北新建材	其他建材	地产建筑建材
000792.SZ	盐湖股份	农药化肥	化工材料
000807.SZ	云铝股份	铝	有色金属资源
000818.SZ	航锦科技	化工原料	化工材料
000830.SZ	鲁西化工	化工原料	化工材料
000831.SZ	中国稀土	小金属	有色金属资源
000858.SZ	五粮液	白酒	消费食品家电轻工
000878.SZ	云南铜业	铜	有色金属资源
000887.SZ	中鼎股份	汽车配件	汽车产业链
000932.SZ	华菱钢铁	普钢	有色金属资源
000933.SZ	神火股份	铝	有色金属资源
000938.SZ	紫光股份	IT设备	半导体电子
000960.SZ	锡业股份	小金属	有色金属资源
000963.SZ	华东医药	化学制药	医药医疗
000967.SZ	盈峰环境	环境保护	公用事业环保
000975.SZ	山金国际	黄金	有色金属资源
000977.SZ	浪潮信息	IT设备	半导体电子
000988.SZ	华工科技	专用机械	机械设备高端制造
000998.SZ	隆平高科	种植业	综合其他
000999.SZ	华润三九	中成药	医药医疗
001914.SZ	招商积余	房产服务	地产建筑建材
001965.SZ	招商公路	路桥	地产建筑建材
001979.SZ	招商蛇口	全国地产	地产建筑建材
002001.SZ	新和成	化学制药	医药医疗
002007.SZ	华兰生物	生物制药	医药医疗
002008.SZ	大族激光	专用机械	机械设备高端制造
002025.SZ	航天电器	元器件	半导体电子
002027.SZ	分众传媒	广告包装	消费食品家电轻工
002028.SZ	思源电气	电气设备	新能源电力设备
002044.SZ	美年健康	医疗保健	医药医疗
002049.SZ	紫光国微	半导体	半导体电子
002050.SZ	三花智控	家用电器	消费食品家电轻工
002064.SZ	华峰化学	化纤	化工材料
002065.SZ	东华软件	软件服务	计算机通信互联网
002074.SZ	国轩高科	电气设备	新能源电力设备
002078.SZ	太阳纸业	造纸	消费食品家电轻工
002085.SZ	万丰奥威	汽车配件	汽车产业链
002091.SZ	江苏国泰	商贸代理	综合其他
002120.SZ	韵达股份	仓储物流	交通运输物流
002128.SZ	电投能源	煤炭开采	有色金属资源
002129.SZ	TCL中环	电气设备	新能源电力设备
002130.SZ	沃尔核材	电气设备	新能源电力设备
002131.SZ	利欧股份	互联网	计算机通信互联网
002138.SZ	顺络电子	元器件	半导体电子
002145.SZ	钛能化学	化工原料	化工材料
002152.SZ	广电运通	IT设备	半导体电子
002155.SZ	湖南黄金	黄金	有色金属资源
002156.SZ	通富微电	半导体	半导体电子
002176.SZ	江特电机	小金属	有色金属资源
002179.SZ	中航光电	元器件	半导体电子
002180.SZ	纳思达	IT设备	半导体电子
002185.SZ	华天科技	半导体	半导体电子
002195.SZ	岩山科技	软件服务	计算机通信互联网
002202.SZ	金风科技	电气设备	新能源电力设备
002223.SZ	鱼跃医疗	医疗保健	医药医疗
002230.SZ	科大讯飞	软件服务	计算机通信互联网
002236.SZ	大华股份	IT设备	半导体电子
002241.SZ	歌尔股份	元器件	半导体电子
002244.SZ	滨江集团	区域地产	地产建筑建材
002245.SZ	蔚蓝锂芯	电气设备	新能源电力设备
002252.SZ	上海莱士	生物制药	医药医疗
002266.SZ	浙富控股	环境保护	公用事业环保
002271.SZ	东方雨虹	其他建材	地产建筑建材
002273.SZ	水晶光电	元器件	半导体电子
002281.SZ	光迅科技	通信设备	计算机通信互联网
002292.SZ	奥飞娱乐	影视音像	综合其他
002294.SZ	信立泰	化学制药	医药医疗
002312.SZ	川发龙蟒	化工原料	化工材料
002318.SZ	久立特材	特种钢	有色金属资源
002340.SZ	格林美	小金属	有色金属资源
002352.SZ	顺丰控股	仓储物流	交通运输物流
002353.SZ	杰瑞股份	化工机械	机械设备高端制造
002371.SZ	北方华创	半导体	半导体电子
002384.SZ	东山精密	元器件	半导体电子
002389.SZ	航天彩虹	航空	军工航空航天
002405.SZ	四维图新	软件服务	计算机通信互联网
002407.SZ	多氟多	化工原料	化工材料
002409.SZ	雅克科技	半导体	半导体电子
002410.SZ	广联达	软件服务	计算机通信互联网
